pattern,is_exact
+%021%21700%%,0
+%021%2275%%%,0
+%021%2400%%%,0
+%021%25%50%%,0
+%021%25%55%%,0
+%021%25013%%,0
+%021%25113%%,0
+%021%445%0%%,0
+%021%54728%%,0
+%0212%%%0%%%,0
+%0212%%%05%%,0
+%0212%%000%%,0
+%0212%%1%5%%,0
+%0212%%111%%,0
+%0212%%377%%,0
+%0212%%5%3%%,0
+%0212%%500%%,0
+%0212%%520%%,0
+%0212%%522%%,0
+%0212%%60%%%,0
+%0212%%753%%,0
+%0212%0%06%%,0
+%0212%0%13%%,0
+%0212%0%25%%,0
+%0212%0010%%,0
+%0212%040%%%,0
+%0212%060%%%,0
+%0212%0700%%,0
+%0212%0701%%,0
+%0212%0706%%,0
+%0212%0712%%,0
+%0212%0801%%,0
+%0212%0802%%,0
+%0212%0825%%,0
+%0212%0828%%,0
+%0212%1%00%%,0
+%0212%1613%%,0
+%0212%1802%%,0
+%0212%2%04%%,0
+%0212%2%05%%,0
+%0212%2%06%%,0
+%0212%2%2%%%,0
+%0212%2004%%,0
+%0212%2005%%,0
+%0212%2424%%,0
+%0212%3%03%%,0
+%0212%3%05%%,0
+%0212%3%06%%,0
+%0212%3%70%%,0
+%0212%3%80%%,0
+%0212%31%2%%,0
+%0212%31%4%%,0
+%0212%31%7%%,0
+%0212%3530%%,0
+%0212%3536%%,0
+%0212%4%%%%%,0
+%0212%4%%1%%,0
+%0212%4%%6%%,0
+%0212%4%71%%,0
+%0212%4%84%%,0
+%0212%40%2%%,0
+%0212%42%2%%,0
+%0212%4233%%,0
+%0212%45%%%%,0
+%0212%45%3%%,0
+%0212%45%7%%,0
+%0212%45%8%%,0
+%0212%4500%%,0
+%0212%4511%%,0
+%0212%4515%%,0
+%0212%4516%%,0
+%0212%452%%%,0
+%0212%4522%%,0
+%0212%4550%%,0
+%0212%4585%%,0
+%0212%4586%%,0
+%0212%4588%%,0
+%0212%620%%%,0
+%0212%6355%%,0
+%0212%6402%%,0
+%0212%6603%%,0
+%0212%6606%%,0
+%0212%7%20%%,0
+%0212%7504%%,0
+%0212%7520%%,0
+%0212%811%%%,0
+%0212%8601%%,0
+%0212%8802%%,0
+%0212%8803%%,0
+%0212225%5%%,0
+%021223730%%,0
+%021226600%%,0
+%021226688%%,0
+%021226750%%,0
+%021227%%5%%,0
+%021227272%%,0
+%02123%164%%,0
+%021231802%%,0
+%021233%%%%%,0
+%021238173%%,0
+%021240104%%,0
+%021240181%%,0
+%021240301%%,0
+%021240315%%,0
+%021244612%%,0
+%021246110%%,0
+%02125%400%%,0
+%021256500%%,0
+%021261000%%,0
+%021266716%%,0
+%021270%01%%,0
+%02127000%%%,0
+%02127001%%%,0
+%0212702%%%%,0
+%021270334%%,0
+%02127050%%%,0
+%021270501%%,0
+%021270602%%,0
+%02127067%%%,0
+%021270671%%,0
+%0212708%%%%,0
+%0212708%4%%,0
+%021280501%%,0
+%02128242%%%,0
+%021282424%%,0
+%021282446%%,0
+%021285%26%%,0
+%0216%%%61%%,0
+%0216%0%03%%,0
+%0216%1213%%,0
+%0216%1214%%,0
+%0216%3%34%%,0
+%0216%4728%%,0
+%0216%6%21%%,0
+%0216%6%6%%%,0
+%0216%882%%%,0
+%0216%8861%%,0
+%0216%8864%%,0
+%02162%00%%%,0
+%02162%003%%,0
+%02162%010%%,0
+%02162%106%%,0
+%02162%400%%,0
+%021621%00%%,0
+%02162100%%%,0
+%021621000%%,0
+%021621002%%,0
+%02162101%%%,0
+%0216212%4%%,0
+%02162120%%%,0
+%021622%46%%,0
+%021622%54%%,0
+%021622%56%%,0
+%0216225%2%%,0
+%0216227%%%%,0
+%021622707%%,0
+%021624000%%,0
+%021624003%%,0
+%021624008%%,0
+%021624010%%,0
+%021625105%%,0
+%021625110%%,0
+%021625656%%,0
+%021626605%%,0
+%021626607%%,0
+%021642422%%,0
+%02165%620%%,0
+%021654%28%%,0
+%02165774%%%,0
+%021668134%%,0
+%021670614%%,0
+%021670634%%,0
+%021670636%%,0
+%022%25656%%,0
+%022220500%%,0
+%0224%0%01%%,0
+%02245%210%%,0
+%02282181%%%,0
+%0232%%%08%%,0
+%0232%00%%%%,0
+%0232%0011%%,0
+%0232%3508%%,0
+%0232%5500%%,0
+%0232%5501%%,0
+%0232%5502%%,0
+%0232%5508%%,0
+%0232%6603%%,0
+%023230703%%,0
+%02323350%%%,0
+%02323351%%%,0
+%023233515%%,0
+%023235506%%,0
+%02324%%01%%,0
+%02324%%02%%,0
+%02324%%14%%,0
+%0232455%4%%,0
+%02324550%%%,0
+%023245502%%,0
+%023245505%%,0
+%023245511%%,0
+%023245514%%,0
+%023247%01%%,0
+%023248004%%,0
+%02325203%%%,0
+%02422%200%%,0
+%024620227%%,0
+%02562340%%%,0
+%0256320%2%%,0
+%0262242%%%%,0
+%03%%4%%87%%,0
+%03%2%00%%%%,0
+%03%2%00%2%%,0
+%03%252425%%,0
+%031%%001%%%,0
+%0312%%%52%%,0
+%0312%0011%%,0
+%0312%0012%%,0
+%0312%0551%%,0
+%0312%242%%%,0
+%0312%504%%%,0
+%0312%6%81%%,0
+%031242246%%,0
+%031251%1%%%,0
+%031252423%%,0
+%031266631%%,0
+%031268%01%%,0
+%031275008%%,0
+%031280%02%%,0
+%0322%%%04%%,0
+%0322%%%15%%,0
+%032242255%%,0
+%0332%%%1%%%,0
+%034421310%%,0
+%03562%%%0%%,0
+%0366%%%%6%%,0
+%0434%%%12%%,0
+%04443%%%,0
+%044463%%,0
+%05%%%%451%%,0
+%05%%3%667%%,0
+%05%%826%3%%,0
+%05%%83%05%%,0
+%05%002588%%,0
+%05%1260%%%%,0
+%05%253181%%,0
+%05%285026%%,0
+%05%285056%%,0
+%05%33%%0%%%,0
+%05%36%5%3%%,0
+%05%4%450%%%,0
+%05%4%4505%%,0
+%05%44%517%%,0
+%05%524787%%,0
+%05%564157%%,0
+%05%656675%%,0
+%05%66%285%%,0
+%05%7%71%1%%,0
+%05%74%452%%,0
+%050%%0%78%%,0
+%050%46230%%,0
+%0501%2108%%,0
+%050102588%%,0
+%050142%62%%,0
+%050148%67%%,0
+%050184538%%,0
+%050611715%%,0
+%05074460%%%,0
+%053%%%50%%%,0
+%053%%%8%1%%,0
+%053%%3285%%,0
+%053%13431%%,0
+%053%22200%%,0
+%053%4103%%%,0
+%053%41040%%,0
+%053%55172%%,0
+%053%77757%%,0
+%053%77871%%,0
+%053%88422%%,0
+%05313%668%%,0
+%053146%34%%,0
+%053163073%%,0
+%053163074%%,0
+%053225305%%,0
+%053303%44%%,0
+%053320304%%,0
+%05333%%05%%,0
+%053338805%%,0
+%05337%708%%,0
+%0534%4042%%,0
+%0534%4503%%,0
+%0534%4504%%,0
+%0534264%%%%,0
+%05343463%%%,0
+%0534503%6%%,0
+%053450376%%,0
+%053474038%%,0
+%053474043%%,0
+%0535%%180%%,0
+%0535%4174%%,0
+%0535%7366%%,0
+%053524%88%%,0
+%053525048%%,0
+%0535288%4%%,0
+%053566447%%,0
+%0536%10%0%%,0
+%053602646%%,0
+%05364103%%%,0
+%053641038%%,0
+%053641040%%,0
+%053676743%%,0
+%05372%%4%%%,0
+%05380%5%5%%,0
+%05380823%%%,0
+%053854254%%,0
+%054%%4405%%,0
+%054%%501%%%,0
+%054%%5365%%,0
+%054%%8%20%%,0
+%054%22004%%,0
+%054%3307%%%,0
+%054%34%0%%%,0
+%054%4%054%%,0
+%054%61763%%,0
+%054%65548%%,0
+%054%68752%%,0
+%054%82083%%,0
+%054%83405%%,0
+%054%8874%%%,0
+%0541%1740%%,0
+%0541%4052%%,0
+%054123021%%,0
+%0542%5056%%,0
+%054213830%%,0
+%054223%7%%%,0
+%054224052%%,0
+%05423%135%%,0
+%054232556%%,0
+%054243000%%,0
+%05426%453%%,0
+%054261436%%,0
+%054262%3%%%,0
+%054262%5%%%,0
+%054268%82%%,0
+%054285%%7%%,0
+%0542850%5%%,0
+%05428502%%%,0
+%054285042%%,0
+%054285045%%,0
+%054285053%%,0
+%054285056%%,0
+%054285108%%,0
+%054285131%%,0
+%05428540%%%,0
+%054285651%%,0
+%054285750%%,0
+%054287384%%,0
+%054288%51%%,0
+%054288327%%,0
+%054288404%%,0
+%0542885%4%%,0
+%0542886%%%%,0
+%0542886%2%%,0
+%0542886%4%%,0
+%0542886%6%%,0
+%0542886%7%%,0
+%05428860%%%,0
+%05428862%%%,0
+%054288620%%,0
+%054288622%%,0
+%054288624%%,0
+%054288626%%,0
+%054288630%%,0
+%054288703%%,0
+%054288704%%,0
+%054288706%%,0
+%054288722%%,0
+%054288723%%,0
+%0543%8053%%,0
+%054330101%%,0
+%054336165%%,0
+%05434%005%%,0
+%054348027%%,0
+%05435%03%%%,0
+%054357015%%,0
+%05437%%12%%,0
+%054381032%%,0
+%05443%714%%,0
+%05443010%%%,0
+%054435045%%,0
+%054438%01%%,0
+%054445087%%,0
+%054447775%%,0
+%054526008%%,0
+%054534%%1%%,0
+%054535110%%,0
+%054536034%%,0
+%054537277%%,0
+%05488%%%8%%,0
+%05488%%05%%,0
+%05488%%36%%,0
+%05488%046%%,0
+%054883043%%,0
+%054884%%1%%,0
+%054884101%%,0
+%0548842%2%%,0
+%054884454%%,0
+%054884475%%,0
+%054884804%%,0
+%054886284%%,0
+%0548876%5%%,0
+%055%3%8%4%%,0
+%055%3%874%%,0
+%0552%%%68%%,0
+%0552%40%1%%,0
+%05520%270%%,0
+%0552011%8%%,0
+%055201272%%,0
+%05520225%%%,0
+%05523%%57%%,0
+%05523%871%%,0
+%055241642%%,0
+%055241650%%,0
+%0552472%2%%,0
+%055282%16%%,0
+%0553%7262%%,0
+%0553017%0%%,0
+%0555%548%%%,0
+%055508218%%,0
+%055508232%%,0
+%055508241%%,0
+%055575%30%%,0
+%0555754%8%%,0
+%055588154%%,0
+%08%0%0012%%,0
+%08%0%3274%%,0
+%08%03%061%%,0
+%08%046623%%,0
+%08%047301%%,0
+%0850%%018%%,0
+%0850%%061%%,0
+%0850%0020%%,0
+%0850%41%3%%,0
+%0850%5%5%%%,0
+%0850%5508%%,0
+%0850%7404%%,0
+%0850%7518%%,0
+%0850%7812%%,0
+%0850%8%15%%,0
+%0850%8%16%%,0
+%0850%80%7%%,0
+%0850%808%%%,0
+%08502%176%%,0
+%0850223%5%%,0
+%085024%77%%,0
+%085024111%%,0
+%08502418%%%,0
+%085025252%%,0
+%085027%03%%,0
+%085027007%%,0
+%08502740%%%,0
+%0850275%7%%,0
+%08502751%%%,0
+%085027518%%,0
+%08503%06%%%,0
+%085030220%%,0
+%085042035%%,0
+%0850480%2%%,0
+%0850480%3%%,0
+%0850480%5%%,0
+%08504800%%%,0
+%085048003%%,0
+%085048024%%,0
+%085048033%%,0
+%085048036%%,0
+%085048062%%,0
+%085048077%%,0
+%085048302%%,0
+%0850484%3%%,0
+%0850484%8%%,0
+%085048403%%,0
+%085048405%%,0
+%085048406%%,0
+%08504841%%%,0
+%085048411%%,0
+%085048415%%,0
